Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14008_001
"060371917202","15000US060371917202","Block Group 2","Block Group 2, Census Tract 1917.20, Los Angeles County, California","ca","150","00","ACSSF","0015362",,,,,"06","037",,,,"191720","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48813.2958801498
"060371918101","15000US060371918101","Block Group 1","Block Group 1, Census Tract 1918.10, Los Angeles County, California","ca","150","00","ACSSF","0015363",,,,,"06","037",,,,"191810","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36785.9838274933
"060371918102","15000US060371918102","Block Group 2","Block Group 2, Census Tract 1918.10, Los Angeles County, California","ca","150","00","ACSSF","0015364",,,,,"06","037",,,,"191810","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65280.3964757709
"060371918103","15000US060371918103","Block Group 3","Block Group 3, Census Tract 1918.10, Los Angeles County, California","ca","150","00","ACSSF","0015365",,,,,"06","037",,,,"191810","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54699.0783410138
"060371918201","15000US060371918201","Block Group 1","Block Group 1, Census Tract 1918.20, Los Angeles County, California","ca","150","00","ACSSF","0015366",,,,,"06","037",,,,"191820","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95376.1638733706
"060371918202","15000US060371918202","Block Group 2","Block Group 2, Census Tract 1918.20, Los Angeles County, California","ca","150","00","ACSSF","0015367",,,,,"06","037",,,,"191820","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48682.8846153846
"060371918203","15000US060371918203","Block Group 3","Block Group 3, Census Tract 1918.20, Los Angeles County, California","ca","150","00","ACSSF","0015368",,,,,"06","037",,,,"191820","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69290.5612244898
"060371919011","15000US060371919011","Block Group 1","Block Group 1, Census Tract 1919.01, Los Angeles County, California","ca","150","00","ACSSF","0015369",,,,,"06","037",,,,"191901","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66554.6402502607
"060371919012","15000US060371919012","Block Group 2","Block Group 2, Census Tract 1919.01, Los Angeles County, California","ca","150","00","ACSSF","0015370",,,,,"06","037",,,,"191901","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65285.4033290653
"060371919021","15000US060371919021","Block Group 1","Block Group 1, Census Tract 1919.02, Los Angeles County, California","ca","150","00","ACSSF","0015371",,,,,"06","037",,,,"191902","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121866.763848397
"060371919022","15000US060371919022","Block Group 2","Block Group 2, Census Tract 1919.02, Los Angeles County, California","ca","150","00","ACSSF","0015372",,,,,"06","037",,,,"191902","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195055.310344828
"060371920011","15000US060371920011","Block Group 1","Block Group 1, Census Tract 1920.01, Los Angeles County, California","ca","150","00","ACSSF","0015373",,,,,"06","037",,,,"192001","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96852.4390243902
"060371920012","15000US060371920012","Block Group 2","Block Group 2, Census Tract 1920.01, Los Angeles County, California","ca","150","00","ACSSF","0015374",,,,,"06","037",,,,"192001","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121025.570776256
"060371920021","15000US060371920021","Block Group 1","Block Group 1, Census Tract 1920.02, Los Angeles County, California","ca","150","00","ACSSF","0015375",,,,,"06","037",,,,"192002","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107323.310810811
"060371920022","15000US060371920022","Block Group 2","Block Group 2, Census Tract 1920.02, Los Angeles County, California","ca","150","00","ACSSF","0015376",,,,,"06","037",,,,"192002","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149919.164619165
"060371920023","15000US060371920023","Block Group 3","Block Group 3, Census Tract 1920.02, Los Angeles County, California","ca","150","00","ACSSF","0015377",,,,,"06","037",,,,"192002","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161741.774491682
"060371923001","15000US060371923001","Block Group 1","Block Group 1, Census Tract 1923, Los Angeles County, California","ca","150","00","ACSSF","0015378",,,,,"06","037",,,,"192300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158768.020304569
"060371923002","15000US060371923002","Block Group 2","Block Group 2, Census Tract 1923, Los Angeles County, California","ca","150","00","ACSSF","0015379",,,,,"06","037",,,,"192300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173611.401425178
"060371923003","15000US060371923003","Block Group 3","Block Group 3, Census Tract 1923, Los Angeles County, California","ca","150","00","ACSSF","0015380",,,,,"06","037",,,,"192300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129773.712021136
"060371924101","15000US060371924101","Block Group 1","Block Group 1, Census Tract 1924.10, Los Angeles County, California","ca","150","00","ACSSF","0015381",,,,,"06","037",,,,"192410","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100354.240631164
"060371924102","15000US060371924102","Block Group 2","Block Group 2, Census Tract 1924.10, Los Angeles County, California","ca","150","00","ACSSF","0015382",,,,,"06","037",,,,"192410","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74661.1363636364
"060371924103","15000US060371924103","Block Group 3","Block Group 3, Census Tract 1924.10, Los Angeles County, California","ca","150","00","ACSSF","0015383",,,,,"06","037",,,,"192410","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114084.239130435
"060371924104","15000US060371924104","Block Group 4","Block Group 4, Census Tract 1924.10, Los Angeles County, California","ca","150","00","ACSSF","0015384",,,,,"06","037",,,,"192410","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164769.554455446
"060371924201","15000US060371924201","Block Group 1","Block Group 1, Census Tract 1924.20, Los Angeles County, California","ca","150","00","ACSSF","0015385",,,,,"06","037",,,,"192420","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90948.4848484848
"060371924202","15000US060371924202","Block Group 2","Block Group 2, Census Tract 1924.20, Los Angeles County, California","ca","150","00","ACSSF","0015386",,,,,"06","037",,,,"192420","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73404.8335123523
"060371925101","15000US060371925101","Block Group 1","Block Group 1, Census Tract 1925.10, Los Angeles County, California","ca","150","00","ACSSF","0015387",,,,,"06","037",,,,"192510","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69575.0436300174
"060371925102","15000US060371925102","Block Group 2","Block Group 2, Census Tract 1925.10, Los Angeles County, California","ca","150","00","ACSSF","0015388",,,,,"06","037",,,,"192510","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60083.2335329341
"060371925201","15000US060371925201","Block Group 1","Block Group 1, Census Tract 1925.20, Los Angeles County, California","ca","150","00","ACSSF","0015389",,,,,"06","037",,,,"192520","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53933.0386740332
"060371925202","15000US060371925202","Block Group 2","Block Group 2, Census Tract 1925.20, Los Angeles County, California","ca","150","00","ACSSF","0015390",,,,,"06","037",,,,"192520","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63578.4073506891
"060371926101","15000US060371926101","Block Group 1","Block Group 1, Census Tract 1926.10, Los Angeles County, California","ca","150","00","ACSSF","0015391",,,,,"06","037",,,,"192610","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46149.2985971944
"060371926102","15000US060371926102","Block Group 2","Block Group 2, Census Tract 1926.10, Los Angeles County, California","ca","150","00","ACSSF","0015392",,,,,"06","037",,,,"192610","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44497.7941176471
"060371926103","15000US060371926103","Block Group 3","Block Group 3, Census Tract 1926.10, Los Angeles County, California","ca","150","00","ACSSF","0015393",,,,,"06","037",,,,"192610","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50894.954954955
"060371926201","15000US060371926201","Block Group 1","Block Group 1, Census Tract 1926.20, Los Angeles County, California","ca","150","00","ACSSF","0015394",,,,,"06","037",,,,"192620","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47962.8389154705
"060371926202","15000US060371926202","Block Group 2","Block Group 2, Census Tract 1926.20, Los Angeles County, California","ca","150","00","ACSSF","0015395",,,,,"06","037",,,,"192620","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61451.568627451
"060371927001","15000US060371927001","Block Group 1","Block Group 1, Census Tract 1927, Los Angeles County, California","ca","150","00","ACSSF","0015396",,,,,"06","037",,,,"192700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77132.5688073395
